run_name	cell_accuracy	exact_accuracy
URM-sudoku	0.924259877	0.8125
URM-sudoku_bs100	0.840241975	0.5605
URM-sudoku_v2_loop16_H1_L32_layers1_gradaccum6	0.81333	0.51
URM-sudoku_bs100_gradaccum6	0.802189506	0.482
TARM-sudoku_v2_loop16_H1_L32_layers1_gradaccum6	0.789040123	0.39435
URM-sudoku_loops40_bs100_gradaccum1	0.761953086	0.3842
URM-sudoku-probe	0.749703704	0.3028
TARM-sudoku_v2_loop40_H1_L12_layers1_gradaccum6	0.734303086	0.2336
TARM-sudoku_v2_loop16_H1_L32_layers1_gradaccum1	0.70655	0.23245
TARM-sudoku_v2_loop50_H1_L3_layers4	0.691808025	0.2193
TARM-sudoku_v2	0.698246296	0.215
TARM-sudoku_v2_loop40_H1_L6_layers4	0.681261111	0.21375
TARM-sudoku_v2_loop40_H1_L12_layers1	0.677753086	0.19185
TARM-sudoku_v2_loop16_H1_L6	0.6901	0.16785
TARM-sudoku_v2_loop1_H2_L6	0.750688889	0.1598
TARM-sudoku_v2_loop40_H2_L3_layers4	0.671866667	0.1593
TARM-sudoku_v2_loop40_H1_L3_layers4_gradaccum6	0.714285802	0.1439
TARM-sudoku_v2_2layers	0.685062963	0.13495
TARM-sudoku_v2_loop48_H1_L3_layers1_gradaccum1_hidden1024	0.672405556	0.1013
TARM-sudoku_v2_loop16_H2_L1	0.680046296	0.0819
TARM-sudoku_v2_loop64_H1_L1	0.650003704	0.0583
TARM-sudoku_v2_loop16_H1_L1	0.647401235	0.056
TARM-sudoku_v2_loop50_H1_L1_layers4	0.628021605	0.04675
TARM-sudoku_v2_loop50_H1_L3_layers1	0.638196914	0.0341
TARM-sudoku_v2_skedfree	0.63537963	0.0294
TARM-sudoku_v2_64dim	0.644281481	0.01385
TARM-sudoku_v2_64dimlr1e3	0.599861728	0.0006
TARM-sudoku_v2_loop1_H1_L1	0.623868519	0.0001
TARM-sudoku_v2_loop200_H1_L1_layers1_gradaccum1	0.441594444	0
TARM-sudoku_v2_loop48_H1_L3_layers1_gradaccum1	0.499096296	0
TARM-sudoku_v2_loop50_H1_L1_layers1	0.500369136	0
